created_at;favorite_count;full_text;quote_count;reply_count;retweet_count;author;day;month;reply_dummy
Mon Mar 29 02:52:59 +0000 2021;775;"“Hay que dejar de creer que los pequeños empresarios son una virtud; no lo son.  Hay que destrabarlos para que puedan producir en grandes escalas”
#ReyConBarba 
#HernandoDeSoto
#HernandoPresidente";4;36;85;HDS;29;3;0
Mon Mar 29 01:50:29 +0000 2021;1114;"El 98% de las empresas peruanas son unipersonales, no tienen la posibilidad de hacer cadenas productivas ni participar de las licitaciones del Estado. Eso conmigo va a terminar, sé dónde está escondido el diablo para desamarrar los nudos de la formalidad.
#HernandoPresidente";11;61;149;HDS;29;3;0
Mon Mar 29 01:45:16 +0000 2021;1335;"Hay una población en el Perú que está conectada con el capitalismo mundial porque tiene privilegios y una desconectada.  Yo sé cómo hacer que el 80% de los desconectados se beneficien del libre mercado creando los puentes que hoy no tienen.
#CuartoPoder 
#HernandoDeSoto";20;70;189;HDS;29;3;0
Mon Mar 29 01:42:13 +0000 2021;1972;"Yo represento el capitalismo popular. Yo sé crear las condiciones para que los pobres puedan acceder a mecanismos para crecer.
#CuartoPoder 
#HernandoPresidente 
#HernandoDeSoto";29;155;257;HDS;29;3;0
Sun Mar 28 18:19:13 +0000 2021;8451;Hay que crear riqueza para el que no la tiene, en lugar de quitarle al que la tiene.;421;859;1354;HDS;28;3;0
Sat Mar 27 19:01:12 +0000 2021;982;"Me voy a asegurar que el Estado asegure compras de las Pymes sin cambiar las reglas sorpresivamente.
#Mypes 
#HernandoPresidente 
#HernandoDeSoto https://t.co/iIOpPjyZFp";10;53;124;HDS;27;3;0
Sat Mar 27 18:51:23 +0000 2021;503;"La ley va a dejar de perseguirlos. La ley debe construir puentes para que todos accedan a sus beneficios económicos y sociales.
#avanzapais 
#HernandoDeSoto 
#HernandoPresidente https://t.co/iWNGMOV17S";3;18;74;HDS;27;3;0
Sat Mar 27 18:49:08 +0000 2021;447;"La solución no siempre está donde parece estar. Con 28 mil normas producidas cada año, es difícil funcionar. Hay que saber dónde y cómo encontrar los nudos, para que todos se beneficien. 
#ChimpunCallao 
#avanzapais 
#HernandoDeSoto 
#HernandoPresidente https://t.co/zMYU0Ai48Y";1;13;70;HDS;27;3;0
Sat Mar 27 18:43:34 +0000 2021;842;"El problema no es la informalidad, sino la formalidad que es inalcanzable y los persigue. Por eso, el Pacto Social es un compromiso con Uds. para que accedan al poder x medio de la democracia directa.
#chimpumcallao 
#HernandoDeSoto
#HernandoPresidente https://t.co/VnX3IGPfWs";10;32;114;HDS;27;3;0
Fri Mar 26 15:58:01 +0000 2021;1297;"¡Queridos amigos de Piura, hoy estaré con ustedes!

 #AvanzaPaís #HernandoDeSoto #Presidente2021 🚄🚄🚄 https://t.co/x7CYV2NR3f";8;56;117;HDS;26;3;0
